Land;Jahr;Anteil_BIP_Prozent;Militaerausgaben_Mio_USD_konst2023;Quelle
Angola;2022;1,35;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Angola;2023;1,32;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Angola;2024;1,34;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Argentinien;2015;0,87;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Argentinien;2016;0,82;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Argentinien;2017;0,88;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Argentinien;2018;0,84;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Argentinien;2019;0,74;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Argentinien;2020;0,84;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Argentinien;2021;0,77;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Argentinien;2022;0,68;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Argentinien;2023;0,6;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Argentinien;2024;0,62;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Armenien;2015;4,25;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Armenien;2016;4,07;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Armenien;2017;3,84;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Armenien;2018;4,27;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Armenien;2019;4,89;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Armenien;2020;5,26;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Armenien;2021;4,39;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Armenien;2022;4,35;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Armenien;2023;5,45;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Armenien;2024;5,06;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aserbaidschan;2015;5,67;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aserbaidschan;2016;3,72;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aserbaidschan;2017;3,72;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aserbaidschan;2018;3,79;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aserbaidschan;2019;3,79;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aserbaidschan;2020;5,4;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aserbaidschan;2021;4,34;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aserbaidschan;2022;4,35;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aserbaidschan;2023;4,37;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Aserbaidschan;2024;4,38;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Australien;2015;1,98;26500;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Australien;2016;1,99;27050;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Australien;2017;1,96;27388;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Australien;2018;1,93;27671;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Australien;2019;1,91;27850;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Australien;2020;2,14;30580;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Australien;2021;2,12;31420;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Australien;2022;1,99;30500;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Australien;2023;1,97;31230;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Australien;2024;1,91;31200;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bahrain;2015;3,78;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bahrain;2016;4,31;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bahrain;2017;4,33;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bahrain;2018;3,79;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bahrain;2019;3,65;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bahrain;2020;4,36;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bahrain;2021;3,95;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bahrain;2022;3,49;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bahrain;2023;3,3;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bahrain;2024;3,28;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bangladesch;2015;1,35;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bangladesch;2016;1,37;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bangladesch;2017;1,31;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bangladesch;2018;1,3;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bangladesch;2019;1,27;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bangladesch;2020;1,24;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bangladesch;2021;1,16;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bangladesch;2022;1,14;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bangladesch;2023;1,23;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bangladesch;2024;1,25;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belarus;2015;1,21;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belarus;2016;1,27;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belarus;2017;1,29;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belarus;2018;1,24;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belarus;2019;1,27;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belarus;2020;1,42;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belarus;2021;1,66;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belarus;2022;1,8;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belarus;2023;1,7;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belarus;2024;2,1;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belgien;2015;0,91;4862;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belgien;2016;0,91;4904;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belgien;2017;0,91;5008;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belgien;2018;0,93;5266;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belgien;2019;0,93;5332;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belgien;2020;1,01;5566;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belgien;2021;1,12;6100;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belgien;2022;1,18;6676;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belgien;2023;1,13;6540;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Belgien;2024;1,3;7800;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bolivien;2015;1,68;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bolivien;2016;1,65;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bolivien;2017;1,56;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bolivien;2018;1,53;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bolivien;2019;1,36;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bolivien;2020;1,34;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bolivien;2021;1,35;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bolivien;2022;1,29;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bolivien;2023;1,35;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bolivien;2024;1,37;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Brasilien;2015;1,36;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Brasilien;2016;1,26;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Brasilien;2017;1,44;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Brasilien;2018;1,54;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Brasilien;2019;1,47;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Brasilien;2020;1,86;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Brasilien;2021;1,44;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Brasilien;2022;1,25;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Brasilien;2023;1,1;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Brasilien;2024;1,16;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bulgarien;2015;1,32;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bulgarien;2016;1,27;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bulgarien;2017;1,52;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bulgarien;2018;1,56;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bulgarien;2019;3,25;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bulgarien;2020;1,56;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bulgarien;2021;1,57;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bulgarien;2022;1,56;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bulgarien;2023;1,98;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Bulgarien;2024;2,18;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Burkina Faso;2015;1,29;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Burkina Faso;2016;1,32;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Burkina Faso;2017;1,32;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Burkina Faso;2018;1,26;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Burkina Faso;2019;1,66;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Burkina Faso;2020;2,0;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Burkina Faso;2021;2,43;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Burkina Faso;2022;2,32;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Burkina Faso;2023;2,71;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Burkina Faso;2024;3,1;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Chile;2015;1,87;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Chile;2016;1,9;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Chile;2017;1,86;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Chile;2018;1,91;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Chile;2019;1,9;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Chile;2020;2,03;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Chile;2021;2,01;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Chile;2022;1,87;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Chile;2023;1,88;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Chile;2024;1,9;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
China;2015;1,93;192600;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
China;2016;1,91;202600;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
China;2017;1,9;215900;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
China;2018;1,85;228300;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
China;2019;1,88;244400;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
China;2020;1,74;252300;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
China;2021;1,72;270500;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
China;2022;1,66;277600;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
China;2023;1,68;294900;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
China;2024;1,68;314000;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Cuba;2015;3,1;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Cuba;2016;3,05;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Cuba;2017;2,92;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Cuba;2018;2,9;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Cuba;2019;2,95;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Cuba;2020;3,1;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Cuba;2021;3,08;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Cuba;2022;3,1;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Cuba;2023;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Cuba;2024;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Daenemark;2015;1,17;3956;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Daenemark;2016;1,17;4066;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Daenemark;2017;1,15;4216;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Daenemark;2018;1,28;4786;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Daenemark;2019;1,32;5148;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Daenemark;2020;1,42;5534;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Daenemark;2021;1,37;5634;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Daenemark;2022;1,35;5844;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Daenemark;2023;1,65;7234;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Daenemark;2024;2,37;10530;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Demokratische Republik Kongo;2015;1,23;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Demokratische Republik Kongo;2016;1,02;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Demokratische Republik Kongo;2017;1,07;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Demokratische Republik Kongo;2018;0,74;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Demokratische Republik Kongo;2019;0,64;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Demokratische Republik Kongo;2020;0,67;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Demokratische Republik Kongo;2021;0,71;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Demokratische Republik Kongo;2022;0,68;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Demokratische Republik Kongo;2023;0,7;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Demokratische Republik Kongo;2024;0,72;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Deutschland;2015;1,12;45750;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Deutschland;2016;1,13;47735;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Deutschland;2017;1,13;49104;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Deutschland;2018;1,15;50459;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Deutschland;2019;1,24;55351;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Deutschland;2020;1,36;58976;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Deutschland;2021;1,3;58458;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Deutschland;2022;1,35;61110;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Deutschland;2023;1,49;67285;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Deutschland;2024;1,89;86301;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ecuador;2015;2,72;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ecuador;2016;2,28;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ecuador;2017;2,36;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ecuador;2018;2,32;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ecuador;2019;2,3;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ecuador;2020;2,3;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ecuador;2021;2,38;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ecuador;2022;2,35;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ecuador;2023;2,38;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ecuador;2024;2,5;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Estland;2015;2,1;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Estland;2016;2,16;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Estland;2017;2,16;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Estland;2018;2,07;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Estland;2019;2,15;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Estland;2020;2,33;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Estland;2021;2,02;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Estland;2022;2,07;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Estland;2023;2,73;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Estland;2024;3,43;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Finnland;2015;1,47;3756;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Finnland;2016;1,44;3788;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Finnland;2017;1,42;3869;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Finnland;2018;1,43;3990;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Finnland;2019;1,51;4263;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Finnland;2020;1,65;4574;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Finnland;2021;1,95;5530;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Finnland;2022;2,0;5820;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Finnland;2023;2,45;7108;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Finnland;2024;2,3;7005;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Frankreich;2015;1,78;53136;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Frankreich;2016;1,78;54236;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Frankreich;2017;1,78;55467;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Frankreich;2018;1,8;57045;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Frankreich;2019;1,83;59011;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Frankreich;2020;2,01;63406;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Frankreich;2021;1,9;62750;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Frankreich;2022;1,88;63820;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Frankreich;2023;1,9;65985;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Frankreich;2024;2,06;72700;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Georgien;2015;2,0;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Georgien;2016;1,87;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Georgien;2017;1,93;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Georgien;2018;2,18;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Georgien;2019;1,96;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Georgien;2020;1,62;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Georgien;2021;1,66;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Georgien;2022;1,63;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Georgien;2023;1,72;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Georgien;2024;1,79;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ghana;2015;0,37;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ghana;2016;0,38;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ghana;2017;0,38;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ghana;2018;0,39;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ghana;2019;0,38;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ghana;2020;0,42;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ghana;2021;0,41;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ghana;2022;0,44;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Ghana;2023;0,42;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
